Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Flowering Plant,Navajo Winter,20,5,15,0.2,3,600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Southwest United States"",""Mexico"",""Central America""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,30,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,12,1,navajo winter
Flowering plant,Neckarperle,21,5,18,0.3,4,5000,60,"[""Loamy soil"",""Sandy soil""]","[""Mediterranean region"",""Temperate climate""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,36,1,neckarperle
Perennial,New Zealand Blue,18,5,14,0.3,3,30000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northland"",""Auckland"",""Waikato""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost"",""Seaweed extract""]",4,36,12,0.5,new zealand blue
Medicinal Plant,Azadirachta indica,25,10,28,0.3,5,3600,70,"[""Loamy"",""Sandy"",""Clayey""]","[""India"",""Bangladesh"",""Myanmar""]","[""Summer"",""Monsoon""]",40,45,100,48,"[""Organic compost"",""Neem cake""]",4,40,24,1,nimba
Vegetable,Nippon Sanjaku Kiuri,25,5,20,0.3,4,3600,70,"[""Loamy"",""Sandy""]","[""Japan"",""China"",""Korea""]","[""Summer"",""Early Autumn""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",2,12,12,1,nippon sanjaku kiuri
Vegetable,Noir de Toscane,18,5,15,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tuscany"",""Mediterranean region"",""Southern Europe""]","[""Spring"",""Fall""]",40,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,noir de toscane
Flowering plant,Noir des Carmes,20,5,18,0.4,3,5000,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Mediterranean region"",""Southwestern Europe"",""North Africa""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,noir des carmes
Vegetable,Noir Long de Caluire,18,4,15,0.25,2,3000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,12,1,noir long de caluire
Flowering Plant,Nopode de Berlandier,25,5,20,0.3,4,3600,60,"[""Sandy loam"",""Clay loam""]","[""Southwestern United States"",""Northern Mexico""]","[""Spring"",""Summer""]",20,38,15,48,"[""All-purpose fertilizer"",""Organic compost""]",4,24,12,0.5,nopode de berlandier
Vegetable,Numex Suave Orange,22,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Southwest United States"",""Mexico"",""South America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,16,1,numex suave orange
Flower,Oaxacan Rose,25,10,20,0.3,5,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mexico"",""Central America"",""South America""]","[""Year-round"",""Start of summer""]",30,35,50,48,"[""Organic compost"",""Liquid fertilizer""]",4,24,12,0.5,oaxacan rose
Flowering Plant,Odessa,25,10,20,0.3,5,6000,60,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,50,48,"[""NPK fertilizers"",""Organic compost""]",4,24,12,0.5,odessa
Vegetable,Odessa Ronde,25,10,20,0.3,5,18000,60,"[""Sandy loam"",""Loam""]","[""Mediterranean region"",""Subtropical region""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,6,2,odessa ronde
Herb,Officinale,20,5,18,0.3,3,3600,70,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,1,officinale
Vegetable,Ogen,20 °C,5 mm,18 °C,0.3 m³/m³,4 mm/day,600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer""]",30 km/h,35 °C,20 mm,6 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,12 in,1 in,ogen
Flowering Plant,Ohio Dutch,22,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Ohio"",""Netherlands"",""Michigan""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,ohio dutch
Ornamental Plant,Okinawa,25,10,20,0.5,5,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,36,12,0.5,okinawa
Flowering plant,Old Mexico,25,5,20,0.3,4,30000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Texas"",""Arizona"",""New Mexico""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,24,1,old mexico
Flowering plant,Onagre des sables,25,10,20,0.3,5,6000,60,"[""Loamy"",""Sandy""]","[""Coastal regions"",""Deserts"",""Sand dunes""]","[""Spring"",""Summer""]",30,45,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.5,onagre des sables
Vegetable,Opalka,18-25,2-4,15-20,0.2-0.4,4-6,2400-2800,40-70,"[""Well-drained sandy loam"",""Loamy soil with organic matter""]","[""Mediterranean climates"",""Temperate regions""]","[""Late spring to early summer""]",20-30,35-40,50-100,24-48,"[""Nitrogen-rich fertilizers"",""Organic compost""]",2-4,60-80,12-18,0.5-1,opalka
Flowering Plant,Opsis des teinturiers,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean climate regions"",""Temperate regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,0.5,opsis des teinturiers
Fruit,Orange,25,5,20,0.3,3,6000,70,"[""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Start of summer"",""Spring""]",40,40,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8,240,144,1,orange
Fruit,Orange Banana,25,5,20,0.3,3,3600,70,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start summer""]",40,35,30,48,"[""NPK fertilizers"",""Organic compost""]",4,120,36,6,orange banana
Fruit,Orange Bourgois,25,5,20,0.4,3,300,60,"[""Sandy loam"",""Loamy sand"",""Silty clay""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,96,36,6,orange bourgois
Flowering Plant,Orange Centiflor,25,5,20,0.3,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Tropical regions"",""Mediterranean regions""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,48,24,0.5,orange centiflor
Fruit Plant,Orange Giant,22,5,18,0.3,3,3600,65,"[""Loamy soil"",""Sandy soil""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,40,50,72,"[""NPK fertilizers"",""Organic compost""]",4,120,48,1,orange giant
Flowering Plant,Orange Queen,25,5,20,0.3,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,1,orange queen
Fruit,Orange Strawberry,20,5,15,0.3,3,600,70,"[""Loamy soil"",""Sandy soil""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Summer""]",30,35,30,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,12,12,0.5,orange strawberry
Vegetable,Oregon Spring,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Oregon"",""Washington"",""California""]","[""Start of summer"",""Late spring"",""Early fall""]",40,35,20,48,"[""NPK"",""Compost"",""Fish Emulsion""]",2,60,20,0.5,oregon spring
Ornamental Plant,Orenbourg,25,10,20,0.4,5,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,24,12,1,orenbourg
Flowering Plant,Orinoco White Stem,25,5,20,0.3,4,600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,36,12,2,orinoco white stem
Flowering Plant,Oriole,25,5,20,0.3,3,8000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""10-10-10 NPK Fertilizer"",""Bone Meal"",""Compost""]",4,36,12,1,oriole
Flowering Plant,Ortho,25,10,20,0.3,5,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,36,12,0.5,ortho
Vegetable,Osaka Purple,25,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam""]","[""Japan"",""China"",""Korea""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",2,12,12,0.5,osaka purple
Flowering Plant,Oscar Blanco,25,5,20,0.4,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Winter""]",40,35,50,48,"[""NPK fertilizers"",""Organic compost""]",4,24,12,0.5,oscar blanco
Flowering Plant,Osmin,25,5,22,0.4,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical"",""Subtropical"",""Mediterranean""]","[""Spring"",""Summer""]",40,35,10,48,"[""NPK"",""Compost"",""Organic Fertilizer""]",4,24,12,2,osmin
Perennial,Paiute,24.5,2.3,18.7,0.25,3.8,28800,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern California"",""Southern Oregon"",""Nevada""]","[""Spring"",""Summer""]",30,38,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,paiute
Flowering Plant,Pal,25,5,20,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,10,24,"[""NPK"",""Organic compost""]",4,36,12,1,pal
Vegetable,Palaise,20,5,18,0.3,3,12000,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Fall""]",40,35,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,24,12,1,palaise
Fruit,Pantos,25,5,20,0.4,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",30,40,50,48,"[""NPK"",""Compost""]",4,60,36,1,pantos
Flowering Plant,Papante,24.5,8.7,21.3,0.35,5.2,43200,70,"[""Loam"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,35,30,48,"[""NPK fertilizer"",""Compost""]",4,40,12,1,papante
Herbaceous plant,Pastel des teinturiers,20,5,18,0.3,3,300,60,"[""Sandy"",""Loamy"",""Clayey""]","[""France"",""Spain"",""Morocco""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,pastel des teinturiers
Flowering Plant,Pastel Sleeves,25,5,20,0.3,4,3000,70,"[""Loam"",""Sandy soil""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,24,"[""NPK"",""Organic compost""]",4,24,12,1,pastel sleeves
Vegetable,Patisson Blanc,22,5,18,0.25,4,3000,70,"[""Loam"",""Sandy loam""]","[""Mediterranean"",""Temperate""]","[""Late spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",2,24,36,0.5,patisson blanc
Fruit,Pattison Orange,20,5,18,0.2,3,3000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK 20-20-20"",""Organic compost""]",4,24,36,1,patisson orange
Vegetable,Paul Robeson,22,3,18,0.4,4,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""United States"",""Canada"",""Europe""]","[""Late spring"",""Summer"",""Early fall""]",20,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3,60,24,1,paul robeson
Vegetable,Peacevine,25,5,20,0.5,3,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""abc"",""bca"",""xyz""]","[""Start of summer"",""abc"",""xyz""]",40,35,20,48,"[""abx"",""afn""]",2,60,12,1,peacevine
Flower,Peach Blow Sutton,18-25,5-10,15-20,0.3-0.5,4-6,4000-5000,40-60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Subtropical""]","[""Late Spring"",""Summer"",""Early Autumn""]",20-30,35-40,50-100,24-48,"[""NPK 10-10-10"",""Organic Compost""]",4-6,12-18,12-18,1-2,peach blow sutton
Flowering Plant,Peasant,25,10,20,0.4,5,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""10-10-10"",""15-15-15""]",4,24,12,2,peasant
Vegetable,Pepperoncini,25,5,20,0.4,4,6000,60,"[""Sandy loam"",""Silt loam"",""Loamy sand""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Start summer"",""Late spring"",""Early fall""]",40,35,50,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,36,12,1,pepperoncini
Perennial,Perestroika,22,10,18,0.3,5,28800,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climate zones""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,perestroika
Flower,Persian Jewels Mix,25,5,20,0.3,3,60000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",30,40,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,persian jewels mix
Fruit Tree,Persimmon,20,5,15,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Asia"",""North America"",""Europe""]","[""Late Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,240,36,1,persimmon
Flowering Plant,Persuasion,22,10,18,0.3,5,6000,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer""]",30,35,20,48,"[""Phosphorous"",""Potassium"",""Nitrogen""]",4,24,12,1,persuasion
Vegetable,Peshawar,25,5,20,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Peshawar"",""Swabi"",""Charsadda""]","[""Spring"",""Summer"",""Autumn""]",30,45,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,peshawar
Ornamental Plant,Petch Siam,28.5,8.2,26.3,0.35,5.6,3600,75,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer"",""Monsoon season""]",30,35,15,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,petch siam
Fruit,Petit Gris de Rennes,15,5,18,0.3,3,18000,70,"[""Loamy"",""Sandy""]","[""France"",""United Kingdom"",""Belgium""]","[""Spring"",""Summer"",""Autumn""]",40,35,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,8,1,petit gris de rennes
Flowering Plant,Petit Marseillais,18,5,20,0.4,3,3000,65,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Coastal areas""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,2,petit marseillais
Herb,Petites Feuilles,24,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,20,0.5,"petites
feuilles"
Leafy Vegetable,Petites Feuilles,20,5,18,0.3,4,18000,70,"[""Sandy Loam"",""Clay Loam"",""Silt Loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,0.5,petites feuilles
Flowering plant,Petits Becs,25,5,20,0.4,3,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean region"",""Southwestern United States"",""Southern Europe""]","[""Late spring"",""Summer""]",40,35,20,24,"[""NPK 10-10-10"",""Compost""]",4,36,12,2,petits becs
Fruit,Petits Fruits,25,5,20,0.3,3,6000,70,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,petits fruits
Petros,Petros Seed,25,5,20,0.3,3,6000,70,"[""sandy loam"",""clay loam"",""silt loam""]","[""Region A"",""Region B"",""Region C""]","[""Spring"",""Summer"",""Autumn""]",30,35,30,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,2,petros
Flowering Plant,Petrowski Early Round Yellow,25,5,20,0.3,2,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,"petrowski early round
yellow"
Vegetable,Piennolo del Vesuvio,18,3,16,0.25,4,3000,60,"[""Loam"",""Sandy loam""]","[""Campania"",""Naples"",""Italy""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,24,12,1,piennolo del vesuvio
Fruit Plant,Pinard fraise,20,5,15,0.3,3,6000,70,"[""Loamy Soil"",""Sandy Soil""]","[""Mediterranean climate regions"",""Temperate climate regions""]","[""Start of Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,12,12,1,pinard fraise
Vegetable,Ping Tung,25,5,20,0.3,3,3600,70,"[""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,48,24,0.5,ping tung
Tomato,Pink Berkeley Tie Dye,25,5,20,0.3,4,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""California"",""Florida"",""Texas""]","[""Summer"",""Fall""]",35,40,50,24,"[""NPK"",""Compost""]",2,48,36,6,pink berkeley tie dye
Flowering plant,Pink Furry Boar,22,5,18,0.3,3,6000,70,"[""loam"",""sandy loam"",""clay loam""]","[""temperate regions"",""humid areas""]","[""Spring"",""Summer""]",40,30,20,48,"[""nitrogen"",""phosphorus"",""potassium""]",4,24,12,1,pink furry boar
Flowering Plant,Pleine de Naples,26,5,24,0.4,3,7200,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,24,12,0.5,pleine de naples
Flowering,Podland Pink,20,5,18,0.3,4,12000,60,"[""Loam"",""Sandy Loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,podland pink
Vegetable,Pointu de Chateaurenard,20,5,18,0.3,4,30000,60,"[""Loam"",""Sandy loam"",""Clay""]","[""France"",""Mediterranean region""]","[""Spring"",""Summer""]",30,35,10,48,"[""Compost"",""Organic fertilizer""]",4,24,12,1,pointu de chateaurenard
Fruit,Poire Jaune,20 °C,5 mm,18 °C,0.2 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean regions"",""Temperate climates""]","[""Spring"",""Summer""]",40 km/h,35 °C,20 mm,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120 in,36 in,2 in,poire jaune
Vegetable,Potato,15,5,12,0.2,3,30000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Vilvoorde"",""Brussels"",""Leuven""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,6,potager de vilvoorde
Vegetable,Potimarron Red Kuri,15-25,2-5,10-15,0.2-0.4,4-6,2000-2500,50-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Start summer"",""Late summer"",""Early autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4-6,24,48,2,potimarron red kuri
Vegetable,Potimarron Solor,20-25,10-15,15-20,0.2-0.3,5-8,6000-8000,60-70,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",40-50,35-40,20-30,48-72,"[""NPK 10-10-10"",""Organic compost""]",4-6,24-36,24-36,1-2,potimarron solor
Cucurbita,Potiron Bleu de Hongrie,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,36,2,potiron bleu de hongrie
Vegetable,Potiron Vert Olive,22,5,18,0.3,3,6000,70,"[""Loamy"",""Sandy"",""Clay""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,36,24,2,potiron vert olive
Vegetable,Precocibec,25,5,20,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Region A"",""Region B"",""Region C""]","[""Spring"",""Summer""]",40,35,20,24,"[""NPK 10-10-10"",""Compost""]",2,24,12,1,precocibec
